CHI Electrochemical Workstation
File: cv_blank_r01.bin
Data Source: CHI600E Electrochemical Analyzer
Instrument Model: CHI600E

Cyclic Voltammetry

Init E (V) = -0.5
High E (V) = 0.5
Low E (V) = -0.5
Scan Rate (V/s) = 0.05
Sensitivity (A/V) = 1e-05

Potential/V, Current/A

-0.5000,1.527553e-07
-0.4800,1.519986e-07
-0.4600,1.502350e-07
-0.4400,1.449253e-07
-0.4200,1.466856e-07
-0.4000,1.571435e-07
-0.3800,1.557272e-07
-0.3600,1.507571e-07
-0.3400,1.475808e-07
-0.3200,1.616476e-07
-0.3000,1.455439e-07
-0.2800,1.548649e-07
-0.2600,1.586521e-07
-0.2400,1.480088e-07
-0.2200,1.561909e-07
-0.2000,1.416329e-07
-0.1800,1.575972e-07
-0.1600,1.515098e-07
-0.1400,1.381502e-07
-0.1200,1.552020e-07
-0.1000,1.438878e-07
-0.0800,1.612801e-07
-0.0600,1.491924e-07
-0.0400,1.586238e-07
-0.0200,1.724226e-07
0.0000,1.849097e-07
0.0200,2.136137e-07
0.0400,2.368296e-07
0.0600,2.751493e-07
0.0800,2.919350e-07
0.1000,3.015831e-07
0.1200,2.712496e-07
0.1400,2.788213e-07
0.1600,2.412184e-07
0.1800,1.982972e-07
0.2000,1.881189e-07
0.2200,1.738042e-07
0.2400,1.678898e-07
0.2600,1.461644e-07
0.2800,1.632692e-07
0.3000,1.493847e-07
0.3200,1.681411e-07
0.3400,1.489534e-07
0.3600,1.551105e-07
0.3800,1.472532e-07
0.4000,1.416315e-07
0.4200,1.582251e-07
0.4400,1.567976e-07
0.4600,1.615391e-07
0.4800,1.564273e-07
0.5000,1.457012e-07
0.4800,1.375316e-07
0.4600,1.451205e-07
0.4400,1.449374e-07
0.4200,1.438861e-07
0.4000,1.543685e-07
0.3800,1.524613e-07
0.3600,1.479893e-07
0.3400,1.513447e-07
0.3200,1.490884e-07
0.3000,1.521758e-07
0.2800,1.573068e-07
0.2600,1.614807e-07
0.2400,1.547147e-07
0.2200,1.589993e-07
0.2000,1.981084e-07
0.1800,2.125257e-07
0.1600,2.492725e-07
0.1400,2.577873e-07
0.1200,2.894189e-07
0.1000,3.002031e-07
0.0800,2.810828e-07
0.0600,2.662414e-07
0.0400,2.464131e-07
0.0200,2.197560e-07
0.0000,1.993584e-07
-0.0200,1.638234e-07
-0.0400,1.493493e-07
-0.0600,1.581884e-07
-0.0800,1.587197e-07
-0.1000,1.520276e-07
-0.1200,1.404197e-07
-0.1400,1.559161e-07
-0.1600,1.559568e-07
-0.1800,1.541530e-07
-0.2000,1.463474e-07
-0.2200,1.522805e-07
-0.2400,1.559303e-07
-0.2600,1.458093e-07
-0.2800,1.361722e-07
-0.3000,1.524643e-07
-0.3200,1.536063e-07
-0.3400,1.501014e-07
-0.3600,1.566684e-07
-0.3800,1.456003e-07
-0.4000,1.493829e-07
-0.4200,1.477111e-07
-0.4400,1.542856e-07
-0.4600,1.619676e-07
-0.4800,1.481159e-07
-0.5000,1.654124e-07
