CHI Electrochemical Workstation
File: cv_ferro_ref_r02.bin
Data Source: CHI600E Electrochemical Analyzer
Instrument Model: CHI600E

Cyclic Voltammetry
Sample ID = ferrocene reference
Analyte = ferrocene
Concentration (M) = 1e-3

Init E (V) = -0.3
High E (V) = 0.6
Low E (V) = -0.3
Scan Rate (V/s) = 0.1
Sensitivity (A/V) = 1e-05

Potential/V, Current/A

-0.3000,7.057055e-08
-0.2800,3.619661e-07
-0.2600,2.293485e-07
-0.2400,8.579571e-08
-0.2200,1.000000e-09
-0.2000,3.560454e-08
-0.1800,4.970162e-07
-0.1600,6.212966e-08
-0.1400,1.907817e-07
-0.1200,2.252090e-07
-0.1000,1.810878e-07
-0.0800,1.666125e-07
-0.0600,3.521377e-08
-0.0400,7.387194e-08
-0.0200,4.026479e-07
0.0000,1.092559e-07
0.0200,3.016966e-07
0.0400,1.000000e-09
0.0600,1.802268e-07
0.0800,2.979862e-07
0.1000,5.880030e-07
0.1200,8.772883e-07
0.1400,2.219368e-06
0.1600,3.885502e-06
0.1800,5.406463e-06
0.2000,6.257260e-06
0.2200,5.387219e-06
0.2400,3.743656e-06
0.2600,2.145664e-06
0.2800,6.863407e-07
0.3000,4.504694e-07
0.3200,1.466463e-07
0.3400,3.758681e-08
0.3600,1.510058e-07
0.3800,2.917967e-07
0.4000,1.514886e-07
0.4200,3.519038e-07
0.4400,6.084641e-08
0.4600,4.251876e-08
0.4800,3.861393e-07
0.5000,2.478561e-07
0.5200,3.134017e-07
0.5400,1.007819e-07
0.5600,2.965290e-07
0.5800,2.311628e-07
0.5600,2.778295e-07
0.5400,2.030387e-07
0.5200,3.447553e-07
0.5000,1.221070e-07
0.4800,8.434960e-08
0.4600,2.269094e-08
0.4400,3.392719e-07
0.4200,1.113986e-07
0.4000,7.483582e-08
0.3800,8.747566e-08
0.3600,1.486054e-07
0.3400,6.057253e-08
0.3200,2.317995e-07
0.3000,3.883534e-07
0.2800,9.458591e-07
0.2600,2.032775e-06
0.2400,3.843598e-06
0.2200,5.439678e-06
0.2000,6.213782e-06
0.1800,5.524901e-06
0.1600,3.880007e-06
0.1400,1.885199e-06
0.1200,9.477288e-07
0.1000,3.681088e-07
0.0800,3.595659e-07
0.0600,2.380145e-08
0.0400,1.162760e-07
0.0200,1.649783e-07
0.0000,1.596797e-07
-0.0200,3.189527e-07
-0.0400,1.468738e-07
-0.0600,3.157616e-07
-0.0800,2.412724e-08
-0.1000,1.000000e-09
-0.1200,3.463107e-07
-0.1400,2.522786e-07
-0.1600,2.585263e-07
-0.1800,2.147840e-07
-0.2000,2.581186e-07
-0.2200,5.409867e-08
-0.2400,3.138235e-07
-0.2600,1.361427e-07
-0.2800,3.182806e-07
-0.3000,2.105291e-07
