CHI Electrochemical Workstation
File: cv_il6_025pM_r01.bin
Data Source: CHI600E Electrochemical Analyzer
Instrument Model: CHI600E

Cyclic Voltammetry

Init E (V) = -0.5
High E (V) = 0.5
Low E (V) = -0.5
Init P/N = P
Scan Rate (V/s) = 0.05
Segment = 2
Sample Interval (V) = 0.02
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-05

Potential/V, Current/A

-0.5000,3.554043e-07
-0.4800,1.277074e-08
-0.4600,1.116708e-07
-0.4400,1.624645e-07
-0.4200,1.613478e-07
-0.4000,1.799782e-07
-0.3800,1.324549e-07
-0.3600,1.769101e-07
-0.3400,1.538794e-07
-0.3200,2.066947e-07
-0.3000,1.089465e-08
-0.2800,8.494962e-08
-0.2600,1.498369e-07
-0.2400,7.415936e-08
-0.2200,7.321896e-08
-0.2000,1.961483e-07
-0.1800,1.022722e-07
-0.1600,1.968713e-07
-0.1400,2.056364e-07
-0.1200,1.754768e-07
-0.1000,1.968136e-07
-0.0800,1.695292e-07
-0.0600,1.164161e-07
-0.0400,3.088248e-07
-0.0200,5.149578e-07
0.0000,7.220018e-07
0.0200,1.149909e-06
0.0400,1.691068e-06
0.0600,2.047267e-06
0.0800,2.514642e-06
0.1000,2.736900e-06
0.1200,2.426840e-06
0.1400,2.122576e-06
0.1600,1.624942e-06
0.1800,1.270432e-06
0.2000,7.841666e-07
0.2200,5.475546e-07
0.2400,2.603141e-07
0.2600,2.187992e-07
0.2800,1.764934e-07
0.3000,2.894064e-08
0.3200,2.588491e-07
0.3400,2.169282e-07
0.3600,2.164285e-08
0.3800,2.047562e-07
0.4000,1.403689e-07
0.4200,1.829602e-07
0.4400,1.769348e-07
0.4600,3.982559e-08
0.4800,1.344148e-07
0.5000,2.597073e-07
0.4800,1.077480e-07
0.4600,7.482190e-08
0.4400,5.007113e-08
0.4200,6.024930e-08
0.4000,1.746687e-07
0.3800,2.744507e-07
0.3600,1.817689e-07
0.3400,1.688666e-07
0.3200,3.171227e-07
0.3000,1.212927e-07
0.2800,1.276730e-07
0.2600,2.588269e-07
0.2400,3.513521e-07
0.2200,4.069891e-07
0.2000,6.749196e-07
0.1800,1.178615e-06
0.1600,1.654184e-06
0.1400,2.015752e-06
0.1200,2.452735e-06
0.1000,2.560114e-06
0.0800,2.501415e-06
0.0600,2.103225e-06
0.0400,1.629677e-06
0.0200,1.131244e-06
0.0000,8.383492e-07
-0.0200,5.837923e-07
-0.0400,2.840621e-07
-0.0600,2.821746e-07
-0.0800,1.215328e-07
-0.1000,1.647627e-07
-0.1200,2.080672e-07
-0.1400,2.621170e-07
-0.1600,1.220866e-07
-0.1800,1.446018e-07
-0.2000,1.644441e-07
-0.2200,3.989120e-08
-0.2400,1.511694e-07
-0.2600,1.003230e-07
-0.2800,1.773037e-07
-0.3000,6.694713e-08
-0.3200,4.700461e-09
-0.3400,1.528139e-07
-0.3600,1.691550e-07
-0.3800,1.096535e-07
-0.4000,2.153302e-07
-0.4200,1.299215e-07
-0.4400,1.054814e-07
-0.4600,1.851141e-07
-0.4800,3.473797e-08
-0.5000,1.002071e-07
