CHI Electrochemical Workstation
File: cv_il6_025pM_r02.bin
Data Source: CHI600E Electrochemical Analyzer
Instrument Model: CHI600E

Cyclic Voltammetry
Sample ID = IL-6 dilution series
Analyte = interleukin-6
Concentration (M) = 2.5e-11

Init E (V) = -0.5
High E (V) = 0.5
Low E (V) = -0.5
Init P/N = P
Scan Rate (V/s) = 0.05
Segment = 2
Sample Interval (V) = 0.02
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-05

Potential/V, Current/A

-0.5000,1.484733e-07
-0.4800,2.123941e-07
-0.4600,1.380403e-07
-0.4400,1.726729e-07
-0.4200,1.018211e-07
-0.4000,1.721765e-07
-0.3800,2.722649e-07
-0.3600,9.955209e-08
-0.3400,3.239167e-07
-0.3200,1.026780e-07
-0.3000,1.512596e-07
-0.2800,1.627382e-07
-0.2600,2.252864e-07
-0.2400,5.907905e-08
-0.2200,1.000000e-09
-0.2000,1.945507e-07
-0.1800,2.085105e-07
-0.1600,1.960457e-07
-0.1400,3.441641e-07
-0.1200,1.680134e-07
-0.1000,1.781324e-07
-0.0800,2.455160e-07
-0.0600,2.470941e-07
-0.0400,4.333163e-07
-0.0200,3.905593e-07
0.0000,7.333212e-07
0.0200,9.040393e-07
0.0400,1.695713e-06
0.0600,2.084436e-06
0.0800,2.535512e-06
0.1000,2.758330e-06
0.1200,2.467167e-06
0.1400,2.093098e-06
0.1600,1.599281e-06
0.1800,1.095641e-06
0.2000,7.145810e-07
0.2200,5.285579e-07
0.2400,3.137425e-07
0.2600,2.248569e-07
0.2800,1.644816e-07
0.3000,2.266772e-07
0.3200,1.892566e-07
0.3400,1.404009e-07
0.3600,1.990613e-07
0.3800,1.388899e-07
0.4000,6.527001e-08
0.4200,2.569675e-07
0.4400,1.841994e-07
0.4600,7.964123e-08
0.4800,2.292937e-07
0.5000,1.753556e-07
0.4800,3.501958e-08
0.4600,2.683313e-07
0.4400,1.745115e-07
0.4200,2.155232e-07
0.4000,1.645504e-07
0.3800,1.390553e-07
0.3600,3.641549e-08
0.3400,2.222333e-07
0.3200,1.551630e-07
0.3000,1.384127e-07
0.2800,2.030099e-07
0.2600,2.257261e-07
0.2400,3.606954e-07
0.2200,4.543015e-07
0.2000,7.582326e-07
0.1800,1.000013e-06
0.1600,1.604888e-06
0.1400,2.161472e-06
0.1200,2.565850e-06
0.1000,2.573248e-06
0.0800,2.458682e-06
0.0600,2.228190e-06
0.0400,1.612055e-06
0.0200,1.211175e-06
0.0000,8.842691e-07
-0.0200,4.844953e-07
-0.0400,4.012136e-07
-0.0600,1.677642e-07
-0.0800,1.924809e-07
-0.1000,1.537858e-07
-0.1200,1.613956e-07
-0.1400,2.338551e-07
-0.1600,3.258606e-07
-0.1800,1.011338e-07
-0.2000,1.077378e-07
-0.2200,1.865597e-07
-0.2400,7.244700e-08
-0.2600,1.865307e-07
-0.2800,1.920349e-07
-0.3000,1.296033e-07
-0.3200,1.890427e-07
-0.3400,3.612518e-08
-0.3600,2.058513e-07
-0.3800,3.645469e-08
-0.4000,9.881095e-08
-0.4200,1.091195e-07
-0.4400,1.205166e-07
-0.4600,2.131194e-07
-0.4800,1.560013e-07
-0.5000,1.207884e-07
