CHI Electrochemical Workstation
File: cv_il6_100pM_r01.bin
Data Source: CHI600E Electrochemical Analyzer
Instrument Model: CHI600E

Cyclic Voltammetry
Sample ID = IL-6 dilution series
Analyte = interleukin-6
Concentration (M) = 1e-10

Init E (V) = -0.5
High E (V) = 0.5
Low E (V) = -0.5
Init P/N = P
Scan Rate (V/s) = 0.05
Segment = 2
Sample Interval (V) = 0.02
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-05

Potential/V, Current/A

-0.5000,2.932689e-07
-0.4800,6.653127e-08
-0.4600,3.022549e-07
-0.4400,1.000000e-09
-0.4200,3.851597e-07
-0.4000,2.526695e-07
-0.3800,1.563001e-07
-0.3600,1.000000e-09
-0.3400,3.261968e-07
-0.3200,1.603340e-08
-0.3000,2.115818e-07
-0.2800,9.216427e-09
-0.2600,1.000000e-09
-0.2400,1.413586e-07
-0.2200,2.058099e-07
-0.2000,3.582444e-07
-0.1800,1.000000e-09
-0.1600,1.416390e-07
-0.1400,3.234190e-07
-0.1200,2.012146e-07
-0.1000,5.284871e-07
-0.0800,8.018989e-07
-0.0600,1.620206e-07
-0.0400,2.245335e-07
-0.0200,1.631515e-06
0.0000,2.866167e-06
0.0200,4.186788e-06
0.0400,5.954726e-06
0.0600,7.346037e-06
0.0800,8.655887e-06
0.1000,9.595196e-06
0.1200,8.601238e-06
0.1400,7.016306e-06
0.1600,5.454763e-06
0.1800,4.620094e-06
0.2000,2.974897e-06
0.2200,1.205621e-06
0.2400,5.535122e-07
0.2600,4.766730e-07
0.2800,4.537801e-08
0.3000,5.471517e-07
0.3200,1.394627e-07
0.3400,1.000000e-09
0.3600,5.120258e-07
0.3800,1.000000e-09
0.4000,2.111030e-07
0.4200,1.465122e-07
0.4400,6.323305e-08
0.4600,2.396808e-07
0.4800,1.000000e-09
0.5000,1.000000e-09
0.4800,1.000000e-09
0.4600,1.000000e-09
0.4400,1.000000e-09
0.4200,1.436677e-07
0.4000,1.652962e-07
0.3800,3.036374e-07
0.3600,1.838534e-07
0.3400,1.000000e-09
0.3200,1.000000e-09
0.3000,1.000000e-09
0.2800,2.055207e-07
0.2600,5.466236e-07
0.2400,9.008878e-07
0.2200,1.361571e-06
0.2000,2.395966e-06
0.1800,4.190652e-06
0.1600,5.734329e-06
0.1400,7.720424e-06
0.1200,9.013597e-06
0.1000,9.408831e-06
0.0800,9.213400e-06
0.0600,7.358719e-06
0.0400,5.631032e-06
0.0200,3.709230e-06
0.0000,2.224017e-06
-0.0200,1.824538e-06
-0.0400,1.240274e-06
-0.0600,4.191243e-07
-0.0800,4.090372e-07
-0.1000,5.099555e-07
-0.1200,3.839359e-07
-0.1400,4.857629e-07
-0.1600,1.000000e-09
-0.1800,1.000000e-09
-0.2000,2.749670e-07
-0.2200,5.461591e-07
-0.2400,1.786657e-07
-0.2600,1.000000e-09
-0.2800,5.215537e-08
-0.3000,1.000000e-09
-0.3200,1.000000e-09
-0.3400,5.643266e-07
-0.3600,1.000000e-09
-0.3800,1.556363e-07
-0.4000,7.468291e-07
-0.4200,4.769823e-07
-0.4400,2.427777e-07
-0.4600,1.000000e-09
-0.4800,2.632433e-07
-0.5000,5.975839e-07
