Metrohm Autolab B.V.
Nova 2.1 export

WE(1).Potential (V);WE(1).Current (A);Scan
-0.4000;2.967111e-07;1
-0.3800;2.645302e-07;1
-0.3600;3.106914e-07;1
-0.3400;1.774367e-07;1
-0.3200;2.019430e-07;1
-0.3000;1.431900e-07;1
-0.2800;2.623817e-07;1
-0.2600;1.101443e-07;1
-0.2400;2.364127e-07;1
-0.2200;2.706912e-07;1
-0.2000;2.910308e-07;1
-0.1800;1.394381e-07;1
-0.1600;2.706031e-07;1
-0.1400;1.555459e-07;1
-0.1200;1.578071e-07;1
-0.1000;1.385475e-07;1
-0.0800;3.477367e-07;1
-0.0600;4.975074e-07;1
-0.0400;5.871436e-07;1
-0.0200;9.579328e-07;1
0.0000;1.482176e-06;1
0.0200;2.157555e-06;1
0.0400;2.372209e-06;1
0.0600;2.272433e-06;1
0.0800;1.880102e-06;1
0.1000;1.460656e-06;1
0.1200;1.083494e-06;1
0.1400;7.459461e-07;1
0.1600;3.739967e-07;1
0.1800;2.286063e-07;1
0.2000;1.909942e-07;1
0.2200;8.501370e-08;1
0.2400;2.601549e-07;1
0.2600;1.302840e-07;1
0.2800;2.686279e-07;1
0.3000;8.986887e-08;1
0.3200;1.180805e-07;1
0.3400;2.186036e-07;1
0.3600;1.507500e-07;1
0.3800;2.503921e-07;1
0.4000;2.005335e-07;1
