potential_v,current_a,sample_id,analyte_concentration,concentration_unit
-0.4000,1.566072e-07,sample_ext_01,75,pM
-0.3800,2.361198e-07,sample_ext_01,75,pM
-0.3600,1.537919e-07,sample_ext_01,75,pM
-0.3400,1.687155e-07,sample_ext_01,75,pM
-0.3200,2.853526e-07,sample_ext_01,75,pM
-0.3000,1.710167e-07,sample_ext_01,75,pM
-0.2800,1.729518e-07,sample_ext_01,75,pM
-0.2600,1.956727e-07,sample_ext_01,75,pM
-0.2400,1.572122e-07,sample_ext_01,75,pM
-0.2200,2.431032e-07,sample_ext_01,75,pM
-0.2000,1.273613e-07,sample_ext_01,75,pM
-0.1800,1.705316e-07,sample_ext_01,75,pM
-0.1600,3.128943e-07,sample_ext_01,75,pM
-0.1400,9.379841e-08,sample_ext_01,75,pM
-0.1200,1.357845e-07,sample_ext_01,75,pM
-0.1000,2.063956e-07,sample_ext_01,75,pM
-0.0800,6.286099e-08,sample_ext_01,75,pM
-0.0600,7.689093e-08,sample_ext_01,75,pM
-0.0400,2.187343e-07,sample_ext_01,75,pM
-0.0200,4.298416e-07,sample_ext_01,75,pM
0.0000,6.207737e-07,sample_ext_01,75,pM
0.0200,1.000500e-06,sample_ext_01,75,pM
0.0400,1.591315e-06,sample_ext_01,75,pM
0.0600,2.529670e-06,sample_ext_01,75,pM
0.0800,3.002420e-06,sample_ext_01,75,pM
0.1000,3.136120e-06,sample_ext_01,75,pM
0.1200,3.067140e-06,sample_ext_01,75,pM
0.1400,2.459877e-06,sample_ext_01,75,pM
0.1600,1.619243e-06,sample_ext_01,75,pM
0.1800,9.307359e-07,sample_ext_01,75,pM
0.2000,7.313564e-07,sample_ext_01,75,pM
0.2200,3.607144e-07,sample_ext_01,75,pM
0.2400,2.287647e-07,sample_ext_01,75,pM
0.2600,2.346152e-07,sample_ext_01,75,pM
0.2800,1.867699e-07,sample_ext_01,75,pM
0.3000,2.705894e-07,sample_ext_01,75,pM
0.3200,1.614709e-07,sample_ext_01,75,pM
0.3400,1.988405e-07,sample_ext_01,75,pM
0.3600,2.348700e-07,sample_ext_01,75,pM
0.3800,2.771036e-07,sample_ext_01,75,pM
0.4000,1.553436e-07,sample_ext_01,75,pM
0.3800,1.661952e-07,sample_ext_01,75,pM
0.3600,2.852990e-07,sample_ext_01,75,pM
0.3400,1.966779e-07,sample_ext_01,75,pM
0.3200,2.597931e-07,sample_ext_01,75,pM
0.3000,2.172376e-07,sample_ext_01,75,pM
0.2800,2.166335e-07,sample_ext_01,75,pM
0.2600,1.679986e-07,sample_ext_01,75,pM
0.2400,2.575891e-07,sample_ext_01,75,pM
0.2200,3.634557e-07,sample_ext_01,75,pM
0.2000,5.673225e-07,sample_ext_01,75,pM
0.1800,1.142721e-06,sample_ext_01,75,pM
0.1600,1.583898e-06,sample_ext_01,75,pM
0.1400,2.332508e-06,sample_ext_01,75,pM
0.1200,2.992517e-06,sample_ext_01,75,pM
0.1000,3.266507e-06,sample_ext_01,75,pM
0.0800,2.924777e-06,sample_ext_01,75,pM
0.0600,2.362952e-06,sample_ext_01,75,pM
0.0400,1.615639e-06,sample_ext_01,75,pM
0.0200,9.752196e-07,sample_ext_01,75,pM
0.0000,6.844262e-07,sample_ext_01,75,pM
-0.0200,3.669800e-07,sample_ext_01,75,pM
-0.0400,2.336249e-07,sample_ext_01,75,pM
-0.0600,2.341136e-07,sample_ext_01,75,pM
-0.0800,2.606005e-07,sample_ext_01,75,pM
-0.1000,2.854116e-07,sample_ext_01,75,pM
-0.1200,2.217865e-07,sample_ext_01,75,pM
-0.1400,2.171444e-07,sample_ext_01,75,pM
-0.1600,2.349339e-07,sample_ext_01,75,pM
-0.1800,2.640474e-07,sample_ext_01,75,pM
-0.2000,2.366709e-07,sample_ext_01,75,pM
-0.2200,1.259021e-07,sample_ext_01,75,pM
-0.2400,2.074816e-07,sample_ext_01,75,pM
-0.2600,1.798568e-07,sample_ext_01,75,pM
-0.2800,3.026388e-07,sample_ext_01,75,pM
-0.3000,2.080722e-07,sample_ext_01,75,pM
-0.3200,1.579764e-07,sample_ext_01,75,pM
-0.3400,2.853435e-07,sample_ext_01,75,pM
-0.3600,1.778035e-07,sample_ext_01,75,pM
-0.3800,2.290485e-07,sample_ext_01,75,pM
-0.4000,1.971390e-07,sample_ext_01,75,pM
