Metrohm Autolab B.V.
Nova 2.1 export

WE(1).Potential (V);WE(1).Current (A);Scan
-0.2000;1.303457e-07;1
-0.1800;2.215081e-07;1
-0.1600;2.403923e-07;1
-0.1400;1.182795e-07;1
-0.1200;1.692371e-07;1
-0.1000;1.679942e-07;1
-0.0800;2.049459e-07;1
-0.0600;2.274990e-07;1
-0.0400;1.799758e-07;1
-0.0200;1.134081e-07;1
0.0000;3.438496e-07;1
0.0200;4.638736e-07;1
0.0400;5.472106e-07;1
0.0600;1.073574e-06;1
0.0800;1.736778e-06;1
0.1000;2.678897e-06;1
0.1200;3.579599e-06;1
0.1400;4.059730e-06;1
0.1600;4.166708e-06;1
0.1800;3.621927e-06;1
0.2000;2.554422e-06;1
0.2200;1.858547e-06;1
0.2400;1.158777e-06;1
0.2600;7.015319e-07;1
0.2800;4.953292e-07;1
0.3000;3.038315e-07;1
0.3200;1.852899e-07;1
0.3400;1.549322e-07;1
0.3600;1.355516e-07;1
0.3800;2.093768e-07;1
0.4000;1.973872e-07;1
0.4200;2.536238e-07;1
0.4400;3.841011e-08;1
0.4600;3.849683e-07;1
0.4800;3.821105e-07;1
0.5000;1.978094e-07;1
0.4800;2.540912e-07;1
0.4600;2.380489e-07;1
0.4400;2.218778e-07;1
0.4200;1.832944e-07;1
0.4000;1.901923e-07;1
0.3800;1.341389e-07;1
0.3600;2.148430e-07;1
0.3400;2.010021e-07;1
0.3200;2.379710e-07;1
0.3000;1.760255e-07;1
0.2800;3.393504e-07;1
0.2600;5.595139e-07;1
0.2400;1.039932e-06;1
0.2200;1.616184e-06;1
0.2000;2.659681e-06;1
0.1800;3.619741e-06;1
0.1600;4.168567e-06;1
0.1400;4.091305e-06;1
0.1200;3.501778e-06;1
0.1000;2.607223e-06;1
0.0800;1.759580e-06;1
0.0600;1.115827e-06;1
0.0400;5.430404e-07;1
0.0200;2.847719e-07;1
0.0000;2.744981e-07;1
-0.0200;2.287017e-07;1
-0.0400;1.302848e-07;1
-0.0600;1.415980e-07;1
-0.0800;1.919757e-07;1
-0.1000;2.537465e-07;1
-0.1200;1.045491e-07;1
-0.1400;1.185449e-07;1
-0.1600;2.399246e-07;1
-0.1800;1.020218e-07;1
-0.2000;2.087090e-07;1
