time_s,V_meas,I_meas,temp_c
0.0,-0.3000,0.000,22.4
0.2,-0.2800,0.000,22.4
0.4,-0.2600,0.000,22.4
0.6,-0.2400,0.000,22.4
0.8,-0.2200,0.000,22.4
1.0,-0.2000,0.000,22.4
1.2,-0.1800,0.000,22.4
1.4,-0.1600,0.000,22.4
1.6,-0.1400,0.000,22.4
1.8,-0.1200,0.000,22.4
2.0,-0.1000,0.000,22.4
2.2,-0.0800,0.000,22.4
2.4,-0.0600,0.000,22.4
2.6,-0.0400,0.000,22.4
2.8,-0.0200,0.000,22.4
3.0,0.0000,0.000,22.4
3.2,0.0200,0.000,22.4
3.4,0.0400,0.000,22.4
3.6,0.0600,0.000,22.4
3.8,0.0800,0.000,22.4
4.0,0.1000,0.000,22.4
4.2,0.1200,0.000,22.4
4.4,0.1400,0.000,22.4
4.6,0.1600,0.000,22.4
4.8,0.1800,0.000,22.4
5.0,0.2000,0.000,22.4
5.2,0.2200,0.000,22.4
5.4,0.2400,0.000,22.4
5.6,0.2600,0.000,22.4
5.8,0.2800,0.000,22.4
6.0,0.3000,0.000,22.4
6.2,0.2800,0.000,22.4
6.4,0.2600,0.000,22.4
6.6,0.2400,0.000,22.4
6.8,0.2200,0.000,22.4
7.0,0.2000,0.000,22.4
7.2,0.1800,0.000,22.4
7.4,0.1600,0.000,22.4
7.6,0.1400,0.000,22.4
7.8,0.1200,0.000,22.4
8.0,0.1000,0.000,22.4
8.2,0.0800,0.000,22.4
8.4,0.0600,0.000,22.4
8.6,0.0400,0.000,22.4
8.8,0.0200,0.000,22.4
9.0,0.0000,0.000,22.4
9.2,-0.0200,0.000,22.4
9.4,-0.0400,0.000,22.4
9.6,-0.0600,0.000,22.4
9.8,-0.0800,0.000,22.4
10.0,-0.1000,0.000,22.4
10.2,-0.1200,0.000,22.4
10.4,-0.1400,0.000,22.4
10.6,-0.1600,0.000,22.4
10.8,-0.1800,0.000,22.4
11.0,-0.2000,0.000,22.4
11.2,-0.2200,0.000,22.4
11.4,-0.2400,0.000,22.4
11.6,-0.2600,0.000,22.4
11.8,-0.2800,0.000,22.4
12.0,-0.3000,0.000,22.4
